s1	s2	SWL	HP334xx [V]	Temp [mk]	Temp [mk]	time [s]
-0.200000	-1.000000	3	+6.82978300E-01	138.609	563.527	197.380
-0.198000	-1.000000	1	+6.84205800E-01	138.551	563.527	204.350
-0.196000	-1.000000	1	+6.84714800E-01	138.551	560.429	210.210
-0.194000	-1.000000	1	+6.83048200E-01	138.551	560.429	216.330
-0.192000	-1.000000	1	+6.83367500E-01	138.434	560.429	222.060
-0.190000	-1.000000	1	+6.84634900E-01	138.434	561.346	228.030
-0.188000	-1.000000	1	+6.84215800E-01	138.434	561.346	233.580
-0.186000	-1.000000	1	+6.83836600E-01	138.434	561.346	239.420
-0.184000	-1.000000	1	+6.85273600E-01	138.349	561.346	245.600
-0.182000	-1.000000	1	+6.84555100E-01	138.349	563.870	251.670
-0.180000	-1.000000	1	+6.82259700E-01	138.349	563.870	257.750
-0.178000	-1.000000	1	+6.84465300E-01	138.213	563.870	263.960
-0.176000	-1.000000	1	+6.84355500E-01	138.213	563.870	269.820
-0.174000	-1.000000	1	+6.83826600E-01	138.213	561.212	275.570
-0.172000	-1.000000	1	+6.82549200E-01	138.213	561.212	281.650
-0.170000	-1.000000	1	+6.82958300E-01	138.251	561.212	287.980
-0.168000	-1.000000	1	+6.82998300E-01	138.251	559.429	294.160
-0.166000	-1.000000	1	+6.83487300E-01	138.251	559.429	300.130
-0.164000	-1.000000	1	+6.83437400E-01	138.251	559.429	306.090
-0.162000	-1.000000	1	+6.80114100E-01	138.112	559.429	312.200
-0.160000	-1.000000	1	+6.82848600E-01	138.112	561.938	318.450
-0.158000	-1.000000	1	+6.81261800E-01	138.112	561.938	324.630
-0.156000	-1.000000	1	+6.82159900E-01	138.112	561.938	330.620
-0.154000	-1.000000	1	+6.82120000E-01	138.165	561.938	336.370
-0.152000	-1.000000	1	+6.81720800E-01	138.165	561.720	342.350
-0.150000	-1.000000	1	+6.80183900E-01	138.165	561.720	348.750
-0.148000	-1.000000	1	+6.80054200E-01	138.091	561.720	355.700
-0.146000	-1.000000	1	+6.79415500E-01	138.091	561.398	361.801
-0.144000	-1.000000	1	+6.79744800E-01	138.091	561.398	367.991
-0.142000	-1.000000	1	+6.78996400E-01	138.091	561.398	374.191
-0.140000	-1.000000	1	+6.79166000E-01	138.089	561.398	380.371
-0.138000	-1.000000	1	+6.77848700E-01	138.089	561.293	386.581
-0.136000	-1.000000	1	+6.77519300E-01	138.089	561.293	392.891
-0.134000	-1.000000	1	+6.77888600E-01	137.983	561.293	399.071
-0.132000	-1.000000	1	+6.77239900E-01	137.983	561.293	405.061
-0.130000	-1.000000	1	+6.75623200E-01	137.983	560.969	411.351
-0.128000	-1.000000	1	+6.76451500E-01	137.983	560.969	417.321
-0.126000	-1.000000	1	+6.76052300E-01	138.026	560.969	423.081
-0.124000	-1.000000	1	+6.74774900E-01	138.026	561.830	429.391
-0.122000	-1.000000	1	+6.75872700E-01	138.026	561.830	435.571
-0.120000	-1.000000	1	+6.74984500E-01	138.026	561.830	441.781
-0.118000	-1.000000	1	+6.74116200E-01	137.787	561.830	447.521
-0.116000	-1.000000	1	+6.73547400E-01	137.787	562.146	453.251
-0.114000	-1.000000	1	+6.74325800E-01	137.787	562.146	459.231
-0.112000	-1.000000	1	+6.73427600E-01	137.787	562.146	464.881
-0.110000	-1.000000	1	+6.73647200E-01	137.752	562.146	470.751
-0.108000	-1.000000	1	+6.72918700E-01	137.752	561.164	476.481
-0.106000	-1.000000	1	+6.72998500E-01	137.752	561.164	482.351
-0.104000	-1.000000	1	+6.71571400E-01	137.905	561.164	488.761
-0.102000	-1.000000	1	+6.72429600E-01	137.905	561.164	494.831
-0.100000	-1.000000	1	+6.71142300E-01	137.905	561.328	501.361
-0.098000	-1.000000	1	+6.72090300E-01	137.905	561.328	507.321
-0.096000	-1.000000	1	+6.70643300E-01	137.844	561.328	513.291
-0.094000	-1.000000	1	+6.70942700E-01	137.844	561.104	519.481
-0.092000	-1.000000	1	+6.70004600E-01	137.844	561.104	525.761
-0.090000	-1.000000	1	+6.70753000E-01	137.844	561.104	532.191
-0.088000	-1.000000	1	+6.70373800E-01	137.883	561.104	538.391
-0.086000	-1.000000	1	+6.69186200E-01	137.883	561.860	544.781
-0.084000	-1.000000	1	+6.69016600E-01	137.883	561.860	550.641
-0.082000	-1.000000	1	+6.69186200E-01	137.743	561.860	556.401
-0.080000	-1.000000	1	+6.69246100E-01	137.743	561.022	562.601
-0.078000	-1.000000	1	+6.69226100E-01	137.743	561.022	568.461
-0.076000	-1.000000	1	+6.68567500E-01	137.743	561.022	574.431
